,id,BARANGAY,PSGC,LAND COVERAGE,RHU,POPULATION DENSITY PER HEXAGON,POIs PER HEXAGON,ROADS,STORM SURGE HAZARD LEVEL,FLOOD HAZARD LEVEL,LANDSLIDE HAZARD LEVEL,LANDCOVER NUMERICAL,HCFAI,Cluster
65,97,Burgos,PH175109018,Perennial Crop,0,115.1348208,0,1,3,2,2,0,178.1933419,LOW
66,98,Burgos,PH175109018,,0,126.351181,0,0,3,1,0,0,992.3232849,MID
67,100,Burgos,PH175109018,,0,0,0,0,3,1,0,0,0,LOW
68,100,Burgos,PH175109018,,0,0,0,0,3,1,0,0,0,LOW
69,100,Burgos,PH175109018,,0,0,0,0,3,1,0,0,0,LOW
70,100,Burgos,PH175109018,,0,0,0,0,3,1,0,0,0,LOW
71,100,Burgos,PH175109018,,0,0,0,0,3,1,0,0,0,LOW
72,100,Burgos,PH175109018,,0,0,0,0,3,1,0,0,0,LOW
73,100,Burgos,PH175109018,,0,0,0,0,3,1,0,0,0,LOW
74,100,Burgos,PH175109018,,0,0,0,0,3,1,0,0,0,LOW
75,100,Burgos,PH175109018,,0,0,0,0,3,1,0,0,0,LOW
76,100,Burgos,PH175109018,,0,0,0,0,3,1,0,0,0,LOW
77,118,Malisbong,PH175109004,,0,201.3261737,0,0,2,2,0,0,1529.454653,MID
78,119,Malisbong,PH175109004,Annual Crop,0,104.5529099,0,1,2,2,0,0,825.6437931,MID
79,120,Malisbong,PH175109004,Annual Crop,0,42.1661644,0,0,2,2,0,0,320.3321016,LOW
80,121,Ligaya,PH175109004,Annual Crop,0,38.44743729,0,0,3,3,0,0,280.7273199,LOW
81,122,Ligaya,PH175109004,Annual Crop,0,74.7134107,0,0,3,2,0,0,556.5583713,LOW
82,123,Burgos,PH175109004,Annual Crop,0,86.37841034,0,0,3,3,0,0,630.6995041,LOW
83,124,Pag-Asa,PH175109006,Annual Crop,0,126.8078893,0,1,3,3,0,0,963.941241,MID
84,125,Pag-Asa,PH175109006,Annual Crop,0,239.6725464,0,1,3,2,0,0,1857.280866,MID
85,126,Batong Buhay,PH175109019,Annual Crop,0,732.4038544,0,1,3,2,2,0,1133.536228,MID
86,127,Batong Buhay,PH175109019,Brush/Shrubs,0,837.013031,0,1,2,1,1,1,2347.191042,HIGH
87,128,Pag-Asa,PH175109009,Brush/Shrubs,0,129.9716377,0,0,0,2,2,1,1026.372925,MID
88,129,Pag-Asa,PH175109009,Brush/Shrubs,0,60.39352036,0,1,2,2,1,1,144.9322358,LOW
89,130,Burgos,PH175109018,Brush/Shrubs,0,39.86988258,0,1,3,1,2,1,89.79262967,LOW
90,131,SanAgustin,PH175109018,Brush/Shrubs,0,36.45482635,0,1,3,2,2,1,67.35732293,LOW
91,132,San Agustin,PH175109018,Brush/Shrubs,0,83.03134727,2,1,3,2,1,1,228.5140427,LOW
92,133,San Agustin,PH175109018,Brush/Shubs,0,182.8433533,1,1,3,1,2,0,402.6469937,LOW
93,134,San Agustin,PH175109018,Annual Crop,0,331.8771591,0,1,3,1,0,0,2706.024204,HIGH
94,135,San Agustin,PH175109016,Annual Crop,0,112.4160118,0,0,3,2,0,0,837.4142186,MID
95,136,San Agustin,PH175109016,,0,133.0301182,0,0,3,2,0,0,990.9737118,MID
96,154,Burgos,PH175109004,Annual Crop,0,319.1649628,1,1,0,2,0,0,4579.522387,HIGH
97,155,Burgos,PH175109004,Annual Crop,0,66.37104511,0,1,2,2,0,0,524.1254547,LOW
98,156,Burgos,PH175109004,Annual Crop,0,46.39176464,0,0,1,2,0,0,371.1966608,LOW
99,157,Ligaya,PH175109021,Annual Crop,0,54.33431625,0,0,1,2,0,0,434.7477815,LOW
100,158,Malisbong,PH175109020,Annual Crop,0,72.73437119,2,0,2,3,0,0,578.1832102,LOW
101,159,Malisbong,PH175109020,Annual Crop,0,98.84300137,0,0,2,1,0,0,790.8772674,MID
102,160,Pag-Asa,PH175109006,Annual Crop,0,262.573143,1,0,2,1,0,0,2166.582421,MID
103,161,Batong Buhay,PH175109019,Brush/Shrubs,0,430.1041374,0,0,2,1,2,1,903.131711,MID
104,162,Malisbong,PH175109019,Brush/Shubs,0,214.2741547,1,0,0,2,2,0,1681.387698,MID
105,163,Malisbong,PH175109019,Brush/Shrubs,0,212.2247314,0,0,0,2,1,1,1761.751384,MID
106,164,Ligaya,PH175109024,Brush/Shrubs,0,71.30614948,0,0,0,1,2,1,591.937173,LOW
107,165,San Agustin,PH175109018,Brush/Shrubs,0,29.68353653,0,0,0,1,2,1,246.4133714,LOW
108,166,San Agustin,PH175109018,Brush/Shrubs,0,30.89974785,0,0,0,2,2,1,244.0121948,LOW
109,167,San Agustin,PH175109018,Brush/Shrubs,0,21.72891617,0,0,0,2,2,1,171.5910613,LOW
110,168,San Agustin,PH175109018,Brush/Shrubs,0,31.63377571,0,0,0,1,2,1,262.6029859,LOW
111,169,San Agustin,PH175109018,Annual Crop,0,76.30988312,2,0,0,1,2,0,648.7368847,LOW
112,170,San Agustin,PH175109016,Annual Crop,0,44.76221752,0,0,2,2,0,0,340.0540556,LOW
113,171,San Agustin,PH175109016,inland water,0,111.3374507,1,0,3,2,0,0,857.2141172,MID
114,188,Pag-Asa,PH175109004,,0,373.9398668,0,0,0,2,2,0,2840.783484,HIGH
115,189,Pag-Asa,PH175109004,Annual Crop,0,173.5868009,0,0,0,2,0,0,2395.228726,HIGH
116,190,San Agustin,PH175109007,Built Up,0,110.2808075,3,0,1,3,0,0,948.8221235,MID
117,191,Burgos,PH175109021,Annual Crop,0,99.19086456,0,0,0,2,0,0,1368.680147,MID
118,192,Burgos,PH175109021,Annual Crop,0,82.02555593,2,0,0,2,0,0,1172.838278,MID
119,193,Malisbong,PH175109020,Annual Crop,0,46.30811882,0,1,0,2,0,0,652.8726798,LOW
120,194,San Agustin,PH175109017,Annual Crop,0,104.2768326,0,1,0,1,0,0,1512.316324,MID
121,195,Batong Buhay,PH175109017,Annual Crop,0,305.6322784,1,1,0,1,2,0,2613.568022,HIGH
122,196,Batong Buhay,PH175109017,Brush/Shrubs,0,103.0152855,0,0,0,2,2,1,813.5013282,MID
123,197,Ligaya,PH175109024,Brush/Shrubs,0,75.42822011,0,0,0,2,2,1,595.6490529,LOW
124,198,Burgos,PH175109024,Brush/Shrubs,0,94.24123001,0,1,0,1,1,1,848.7173961,MID
125,199,Burgos,PH175109024,Brush/Shrubs,0,52.54802513,0,1,0,1,1,1,473.2368524,LOW
126,200,Burgos,PH175109024,Annual Crop,0,49.26616669,0,1,0,2,1,0,408.9756024,LOW
127,201,San Agustin,PH175109018,Brush/Shrubs,0,38.6944418,0,1,0,2,2,1,317.17444,LOW
128,202,San Agustin,PH175109018,Annual Crop,0,32.77511597,1,1,0,1,2,0,280.2714277,LOW
129,203,Batong Buhay,PH175109018,Annual Crop,0,34.68528811,0,1,0,1,2,0,287.9346527,LOW
130,204,San Agustin,PH175109016,Grassland,0,50.99588203,0,1,0,2,2,1,418.0081059,LOW
131,205,San Agustin,PH175109016,Annual Crop,0,66.46010971,0,1,2,1,2,0,139.5527905,LOW
132,206,San Agustin,PH175109016,,0,189.6020764,0,1,3,2,0,0,1469.272613,MID
133,224,San Agustin,PH175109007,Annual Crop,0,211.5861893,0,1,0,2,0,0,2983.037229,HIGH
134,225,San Agustin,PH175109007,Annual Crop,0,83.36628723,0,1,0,2,0,0,1175.3354,MID
135,226,Burgos,PH175109021,Barren,0,62.26786995,0,0,0,2,0,0,859.200066,MID
136,227,Burgos,PH175109021,Annual Crop,0,115.9672063,0,1,0,2,0,0,1634.957815,MID
137,228,Malisbong,PH175109004,Annual Crop,0,76.98187637,0,1,0,3,0,0,1073.958272,MID
138,229,Malisbong,PH175109004,Annual Crop,0,100.6183446,1,1,0,1,0,0,1484.41223,MID
139,230,Batong Buhay,PH175109017,Annual Crop,0,427.6791687,6,1,0,1,0,0,6844.106349,HIGH
140,231,Batong Buhay,PH175109017,Brush/Shrubs,0,275.6437912,1,1,0,2,1,1,2439.819165,HIGH
141,232,Batong Buhay,PH175109017,Brush/Shrubs,0,77.60093816,0,0,0,2,1,1,644.1924055,LOW
142,233,Batong Buhay,PH175109024,Brush/Shrubs,0,64.17419815,0,0,0,2,2,1,506.7771756,LOW
143,234,Batong Buhay,PH175109024,inland water,0,65.54134115,0,1,0,2,2,0,517.5733661,LOW
144,235,Malisbong,PH175109024,Annual Crop,0,95.55804062,0,1,0,1,1,0,831.908913,MID
145,236,Malisbong,PH175109024,Annual Crop,0,187.3348637,2,1,0,1,2,0,1648.799359,MID
146,237,Malisbong,PH175109024,Grassland,0,73.94545364,0,1,0,2,2,1,606.1234316,LOW
147,238,Pag-Asa,PH175109023,inland water,0,35.32730675,0,1,0,2,0,0,498.0602542,LOW
148,239,Pag-Asa,PH175109005,annual Crop,0,33.58775012,0,0,0,2,1,0,268.7472827,LOW
149,240,Pag-Asa,PH175109005,Brush/Shrubs,0,40.86975002,0,1,2,1,2,1,98.07913518,LOW
150,241,Pag-Asa,PH175109005,Built Up,0,249.9569626,1,1,3,2,0,0,1999.466549,MID
151,258,Batong Buhay,PH175109007,,0,161.4356842,0,0,0,2,3,0,1202.573683,MID
152,259,Batong Buhay,PH175109007,annual Crop,0,150.434227,0,1,0,2,3,0,1165.75142,MID
153,260,Batong Buhay,PH175109007,Barren,0,145.3583145,0,0,0,2,0,0,2005.719378,MID
154,261,Burgos,PH175109021,annual Crop,0,115.7382711,0,1,0,1,0,0,1678.540404,MID
155,262,Burgos,PH175109021,annual Crop,0,134.5793406,2,1,0,3,0,0,1944.778281,MID
156,263,Malisbong,PH175109004,annual Crop,0,258.8675537,1,1,0,1,0,0,3819.046758,HIGH
157,264,Malisbong,PH175109017,annual Crop,0,254.1030121,0,1,0,1,0,0,3685.230206,HIGH
158,265,Malisbong,PH175109017,annual Crop,0,179.5789261,0,1,0,2,1,0,1490.747188,MID
