,HCFAI,Accessibility,
825,192.0057254,Cluster 0,1
826,74.58088793,Cluster 0,1
827,75.77922022,Cluster 0,1
828,80.54244157,Cluster 0,1
829,61.61425628,Cluster 0,1
830,54.72315445,Cluster 0,1
831,39.24545568,Cluster 0,1
832,44.53143269,Cluster 0,1
833,27.38187021,Cluster 0,1
834,31.70467112,Cluster 0,1
835,36.41229062,Cluster 0,1
836,28.82046447,Cluster 0,1
837,24.42525991,Cluster 0,1
838,73.59323423,Cluster 0,1
839,412.0623477,Cluster 0,1
840,438.5927069,Cluster 0,1
841,388.9508988,Cluster 0,1
842,280.9026827,Cluster 0,1
843,159.2893166,Cluster 0,1
844,230.9563421,Cluster 0,1
845,245.9043801,Cluster 0,1
846,245.932823,Cluster 0,1
847,263.935283,Cluster 0,1
848,158.4792815,Cluster 0,1
849,162.7290661,Cluster 0,1
850,367.9448567,Cluster 0,1
851,191.7677526,Cluster 0,1
852,167.7805786,Cluster 0,1
853,97.70813901,Cluster 0,1
854,66.19356669,Cluster 0,1
855,68.51557322,Cluster 0,1
856,67.6021082,Cluster 0,1
857,71.85397882,Cluster 0,1
858,53.36415382,Cluster 0,1
859,51.84929893,Cluster 0,1
860,40.98003368,Cluster 0,1
861,38.05470879,Cluster 0,1
862,37.15558299,Cluster 0,1
863,38.37716182,Cluster 0,1
864,35.59418837,Cluster 0,1
865,33.20500559,Cluster 0,1
866,75.46628854,Cluster 0,1
867,340.5401333,Cluster 0,1
868,450.3458762,Cluster 0,1
869,483.8571669,Cluster 0,1
870,166.9899564,Cluster 0,1
871,229.9151399,Cluster 0,1
872,210.5051583,Cluster 0,1
873,202.578958,Cluster 0,1
874,259.7375397,Cluster 0,1
875,232.5320223,Cluster 0,1
876,163.7475097,Cluster 0,1
877,,Cluster 0,1
878,108.9222314,Cluster 0,1
879,90.85774138,Cluster 0,1
880,89.5497198,Cluster 0,1
881,75.14219193,Cluster 0,1
882,72.61474639,Cluster 0,1
883,55.77086508,Cluster 0,1
884,60.10109132,Cluster 0,1
885,50.64351334,Cluster 0,1
886,60.1656049,Cluster 0,1
887,44.10113514,Cluster 0,1
888,38.54592356,Cluster 0,1
889,31.30875845,Cluster 0,1
890,30.63680949,Cluster 0,1
891,38.24408356,Cluster 0,1
892,40.5672158,Cluster 0,1
893,46.32492552,Cluster 0,1
894,317.305784,Cluster 0,1
895,330.39538,Cluster 0,1
896,441.4922162,Cluster 0,1
897,298.0023951,Cluster 0,1
898,156.447879,Cluster 0,1
899,223.5278666,Cluster 0,1
900,242.2892688,Cluster 0,1
901,252.791313,Cluster 0,1
902,236.3697448,Cluster 0,1
903,149.9683243,Cluster 0,1
904,157.4965577,Cluster 0,1
905,102.9573637,Cluster 0,1
906,107.6804157,Cluster 0,1
907,84.38039371,Cluster 0,1
908,76.95247689,Cluster 0,1
909,73.68145132,Cluster 0,1
910,73.34882115,Cluster 0,1
911,68.70724329,Cluster 0,1
912,60.86522246,Cluster 0,1
913,64.74377821,Cluster 0,1
914,45.347068,Cluster 0,1
915,50.71143283,Cluster 0,1
916,33.29854233,Cluster 0,1
917,36.26002966,Cluster 0,1
918,46.28572953,Cluster 0,1
919,46.38753513,Cluster 0,1
920,50.83625875,Cluster 0,1
921,463.5631307,Cluster 0,1
922,471.5606033,Cluster 0,1
923,471.9391166,Cluster 0,1
924,150.5673781,Cluster 0,1
925,131.7205199,Cluster 0,1
926,174.5687092,Cluster 0,1
927,166.3411115,Cluster 0,1
928,202.7555586,Cluster 0,1
929,168.1292048,Cluster 0,1
930,140.5742999,Cluster 0,1
931,109.2523094,Cluster 0,1
932,112.4747047,Cluster 0,1
933,102.543817,Cluster 0,1
934,80.62957983,Cluster 0,1
935,81.92322527,Cluster 0,1
936,76.39427871,Cluster 0,1
937,73.84882952,Cluster 0,1
938,69.02182978,Cluster 0,1
939,61.09004066,Cluster 0,1
940,93.02564212,Cluster 0,1
941,102.9605863,Cluster 0,1
942,60.96668327,Cluster 0,1
943,32.97227627,Cluster 0,1
944,53.42263577,Cluster 0,1
945,53.31815245,Cluster 0,1
946,103.0770089,Cluster 0,1
947,260.8080142,Cluster 0,1
948,300.4124773,Cluster 0,1
949,433.4231552,Cluster 0,1
950,293.4437798,Cluster 0,1
951,157.369945,Cluster 0,1
952,141.930619,Cluster 0,1
953,152.0075969,Cluster 0,1
954,179.2463333,Cluster 0,1
955,200.233177,Cluster 0,1
956,116.3906922,Cluster 0,1
957,133.4551634,Cluster 0,1
958,129.8190076,Cluster 0,1
959,273.6704458,Cluster 0,1
960,310.1009974,Cluster 0,1
961,332.8046964,Cluster 0,1
962,93.58739633,Cluster 0,1
963,105.4685794,Cluster 0,1
964,112.1988424,Cluster 0,1
965,124.4708759,Cluster 0,1
966,103.9936634,Cluster 0,1
967,117.376229,Cluster 0,1
968,235.5538689,Cluster 0,1
969,293.9941228,Cluster 0,1
970,0,Cluster 0,1
971,0,Cluster 0,1
