,HCFAI,Accessibility,
190,84.49879059,Cluster 0,1
191,71.33555707,Cluster 0,1
192,160.940204,Cluster 0,1
193,260.8262508,Cluster 0,1
194,336.2251934,Cluster 0,1
195,592.8181005,Cluster 0,1
196,1443.033627,Cluster 3,4
197,,Cluster 0,1
198,553.5598246,Cluster 0,1
199,817.6517962,Cluster 3,4
200,889.8815761,Cluster 3,4
201,1169.159675,Cluster 3,4
202,766.5541771,Cluster 3,4
203,276.9603908,Cluster 0,1
204,485.1512074,Cluster 0,1
205,879.2483502,Cluster 3,4
206,622.1627873,Cluster 0,1
207,3283.188687,Cluster 1,2
208,3407.049993,Cluster 1,2
209,2791.467899,Cluster 1,2
210,3196.714734,Cluster 1,2
211,591.7109983,Cluster 0,1
212,120.4610392,Cluster 0,1
213,72.17071407,Cluster 0,1
214,59.64153045,Cluster 0,1
215,63.29529484,Cluster 0,1
216,81.96277281,Cluster 0,1
217,220.1395094,Cluster 0,1
218,248.198204,Cluster 0,1
219,394.0177431,Cluster 0,1
220,818.753732,Cluster 3,4
221,830.8028938,Cluster 3,4
222,365.4198843,Cluster 0,1
223,411.281737,Cluster 0,1
224,593.3839009,Cluster 0,1
225,856.5420409,Cluster 3,4
226,446.3640231,Cluster 0,1
227,410.8830984,Cluster 0,1
228,325.290284,Cluster 0,1
229,200.7947637,Cluster 0,1
230,345.1002423,Cluster 0,1
231,439.7816039,Cluster 0,1
232,1159.831796,Cluster 3,4
233,3564.584353,Cluster 1,2
234,1067.628531,Cluster 3,4
235,1655.467607,Cluster 3,4
236,877.1535538,Cluster 3,4
237,77.95642214,Cluster 0,1
238,56.18515836,Cluster 0,1
239,58.39357706,Cluster 0,1
240,69.07233833,Cluster 0,1
241,74.29781233,Cluster 0,1
242,149.6044178,Cluster 0,1
243,161.7544543,Cluster 0,1
244,232.3303826,Cluster 0,1
245,676.4811271,Cluster 0,1
246,612.2272232,Cluster 0,1
247,222.8581409,Cluster 0,1
248,451.4449344,Cluster 0,1
249,460.5347803,Cluster 0,1
250,252.2049232,Cluster 0,1
251,636.2016906,Cluster 0,1
252,704.1197301,Cluster 0,1
253,324.6156003,Cluster 0,1
254,238.6212144,Cluster 0,1
255,258.1111737,Cluster 0,1
256,291.9943462,Cluster 0,1
257,302.2280716,Cluster 0,1
258,410.3526296,Cluster 0,1
259,766.9656679,Cluster 3,4
260,1680.88097,Cluster 3,4
261,1915.705872,Cluster 3,4
262,995.1194115,Cluster 3,4
263,970.4418116,Cluster 3,4
264,482.3803738,Cluster 0,1
265,147.5852115,Cluster 0,1
266,150.4814778,Cluster 0,1
267,78.50554954,Cluster 0,1
268,111.6753062,Cluster 0,1
269,143.8609563,Cluster 0,1
270,162.2727841,Cluster 0,1
271,143.6979052,Cluster 0,1
272,416.1812862,Cluster 0,1
273,495.3956466,Cluster 0,1
274,138.8602731,Cluster 0,1
275,130.7689333,Cluster 0,1
276,185.3087911,Cluster 0,1
277,450.4362083,Cluster 0,1
278,787.0593863,Cluster 3,4
279,961.139597,Cluster 3,4
280,552.8625064,Cluster 0,1
281,183.3140942,Cluster 0,1
282,294.9315038,Cluster 0,1
283,233.0131135,Cluster 0,1
284,244.9983871,Cluster 0,1
285,310.8966541,Cluster 0,1
286,401.8688736,Cluster 0,1
287,541.4330482,Cluster 0,1
288,945.0922071,Cluster 3,4
289,1542.625413,Cluster 3,4
290,970.9078959,Cluster 3,4
291,921.3032476,Cluster 3,4
292,321.8486369,Cluster 0,1
293,229.581315,Cluster 0,1
294,210.6095343,Cluster 0,1
295,217.9292233,Cluster 0,1
296,103.1897234,Cluster 0,1
297,123.7070889,Cluster 0,1
298,152.9955517,Cluster 0,1
299,133.6659997,Cluster 0,1
300,345.5832946,Cluster 0,1
301,403.3905756,Cluster 0,1
302,184.877256,Cluster 0,1
303,184.0845453,Cluster 0,1
304,174.153166,Cluster 0,1
305,150.1781165,Cluster 0,1
306,523.6911173,Cluster 0,1
307,263.3244165,Cluster 0,1
308,213.2272319,Cluster 0,1
309,437.285155,Cluster 0,1
310,119.2935822,Cluster 0,1
311,153.2688481,Cluster 0,1
312,197.3921365,Cluster 0,1
313,245.6668391,Cluster 0,1
314,322.5141421,Cluster 0,1
315,363.0557024,Cluster 0,1
316,404.719738,Cluster 0,1
317,450.0019428,Cluster 0,1
318,1093.862676,Cluster 3,4
319,600.3967098,Cluster 0,1
320,974.117675,Cluster 3,4
321,1609.15314,Cluster 3,4
