,id,BARANGAY,PSGC,LAND COVERAGE,RHU,POPULATION DENSITY PER HEXAGON,POIs PER HEXAGON,ROADS,STORM SURGE HAZARD LEVEL,FLOOD HAZARD LEVEL,LANDSLIDE HAZARD LEVEL,LANDCOVER NUMERICAL,HCFAI
63,191,Burgos,PH175109021,Annual Crop,0,99.19086456,0,0,0,2,0,0,1368.680147
64,192,Burgos,PH175109021,Annual Crop,0,82.02555593,2,0,0,2,0,0,1172.838278
65,193,Malisbong,PH175109020,Annual Crop,0,46.30811882,0,1,0,2,0,0,652.8726798
66,194,San Agustin,PH175109017,Annual Crop,0,104.2768326,0,1,0,1,0,0,1512.316324
67,195,Batong Buhay,PH175109017,Annual Crop,0,305.6322784,1,1,0,1,2,0,2613.568022
68,196,Batong Buhay,PH175109017,Brush/Shrubs,0,103.0152855,0,0,0,2,2,1,813.5013282
69,197,Ligaya,PH175109024,Brush/Shrubs,0,75.42822011,0,0,0,2,2,1,595.6490529
70,198,Burgos,PH175109024,Brush/Shrubs,0,94.24123001,0,1,0,1,1,1,848.7173961
71,199,Burgos,PH175109024,Brush/Shrubs,0,52.54802513,0,1,0,1,1,1,473.2368524
72,200,Burgos,PH175109024,Annual Crop,0,49.26616669,0,1,0,2,1,0,408.9756024
73,201,San Agustin,PH175109018,Brush/Shrubs,0,38.6944418,0,1,0,2,2,1,317.17444
74,202,San Agustin,PH175109018,Annual Crop,0,32.77511597,1,1,0,1,2,0,280.2714277
75,203,Batong Buhay,PH175109018,Annual Crop,0,34.68528811,0,1,0,1,2,0,287.9346527
76,204,San Agustin,PH175109016,Grassland,0,50.99588203,0,1,0,2,2,1,418.0081059
77,205,San Agustin,PH175109016,Annual Crop,0,66.46010971,0,1,2,1,2,0,139.5527905
78,206,San Agustin,PH175109016,,0,189.6020764,0,1,3,2,0,0,1469.272613
79,224,San Agustin,PH175109007,Annual Crop,0,211.5861893,0,1,0,2,0,0,2983.037229
80,225,San Agustin,PH175109007,Annual Crop,0,83.36628723,0,1,0,2,0,0,1175.3354
81,226,Burgos,PH175109021,Barren,0,62.26786995,0,0,0,2,0,0,859.200066
82,227,Burgos,PH175109021,Annual Crop,0,115.9672063,0,1,0,2,0,0,1634.957815
83,228,Malisbong,PH175109004,Annual Crop,0,76.98187637,0,1,0,3,0,0,1073.958272
84,229,Malisbong,PH175109004,Annual Crop,0,100.6183446,1,1,0,1,0,0,1484.41223
85,230,Batong Buhay,PH175109017,Annual Crop,0,427.6791687,6,1,0,1,0,0,6844.106349
86,231,Batong Buhay,PH175109017,Brush/Shrubs,0,275.6437912,1,1,0,2,1,1,2439.819165
87,232,Batong Buhay,PH175109017,Brush/Shrubs,0,77.60093816,0,0,0,2,1,1,644.1924055
88,233,Batong Buhay,PH175109024,Brush/Shrubs,0,64.17419815,0,0,0,2,2,1,506.7771756
89,234,Batong Buhay,PH175109024,inland water,0,65.54134115,0,1,0,2,2,0,517.5733661
90,235,Malisbong,PH175109024,Annual Crop,0,95.55804062,0,1,0,1,1,0,831.908913
91,236,Malisbong,PH175109024,Annual Crop,0,187.3348637,2,1,0,1,2,0,1648.799359
92,237,Malisbong,PH175109024,Grassland,0,73.94545364,0,1,0,2,2,1,606.1234316
93,238,Pag-Asa,PH175109023,inland water,0,35.32730675,0,1,0,2,0,0,498.0602542
94,239,Pag-Asa,PH175109005,annual Crop,0,33.58775012,0,0,0,2,1,0,268.7472827
