fid,id,left,top,right,bottom
225,225,480819.765389624342788,1434591.728244151920080,482725.021277950087097,1432941.728244151687250
226,226,480819.765389624342788,1432941.728244151687250,482725.021277950087097,1431291.728244151687250
227,227,480819.765389624342788,1431291.728244151687250,482725.021277950087097,1429641.728244151687250
228,228,480819.765389624342788,1429641.728244151687250,482725.021277950087097,1427991.728244151920080
229,229,480819.765389624342788,1427991.728244151920080,482725.021277950087097,1426341.728244151687250
230,230,480819.765389624342788,1426341.728244151687250,482725.021277950087097,1424691.728244151687250
231,231,480819.765389624342788,1424691.728244151687250,482725.021277950087097,1423041.728244151687250
232,232,480819.765389624342788,1423041.728244151687250,482725.021277950087097,1421391.728244151920080
233,233,480819.765389624342788,1421391.728244151920080,482725.021277950087097,1419741.728244151687250
234,234,480819.765389624342788,1419741.728244151687250,482725.021277950087097,1418091.728244151687250
235,235,480819.765389624342788,1418091.728244151687250,482725.021277950087097,1416441.728244151687250
236,236,480819.765389624342788,1416441.728244151687250,482725.021277950087097,1414791.728244151920080
237,237,480819.765389624342788,1414791.728244151920080,482725.021277950087097,1413141.728244151687250
238,238,480819.765389624342788,1413141.728244151687250,482725.021277950087097,1411491.728244151687250
239,239,480819.765389624342788,1411491.728244151687250,482725.021277950087097,1409841.728244151687250
240,240,480819.765389624342788,1409841.728244151687250,482725.021277950087097,1408191.728244151920080
241,241,480819.765389624342788,1408191.728244151920080,482725.021277950087097,1406541.728244151687250
258,258,482248.707305868621916,1437066.728244151687250,484153.963194194366224,1435416.728244151687250
259,259,482248.707305868621916,1435416.728244151687250,484153.963194194366224,1433766.728244151687250
