fid,id,left,top,right,bottom,geom_wkt,popdensity
121,121,476532.9396,1432116.728,478438.1955,1430466.728,"MultiPolygon (((120.78512392 12.94193595, 120.78950718 12.9493972, 120.79828693 12.9494044, 120.80268289 12.94195033, 120.79829936 12.93448929, 120.78952014 12.93448211, 120.78512392 12.94193595)))",38.44743729
122,122,476532.9396,1430466.728,478438.1955,1428816.728,"MultiPolygon (((120.78513713 12.92702085, 120.78952014 12.93448211, 120.79829936 12.93448929, 120.80269506 12.92703521, 120.79831178 12.91957417, 120.78953308 12.91956699, 120.78513713 12.92702085)))",74.7134107
123,123,476532.9396,1428816.728,478438.1955,1427166.728,"MultiPolygon (((120.78515032 12.91210574, 120.78953308 12.91956699, 120.79831178 12.91957417, 120.80270721 12.91212008, 120.79832418 12.90465903, 120.789546 12.90465186, 120.78515032 12.91210574)))",86.37841034
124,124,476532.9396,1427166.728,478438.1955,1425516.728,"MultiPolygon (((120.7851635 12.8971906, 120.789546 12.90465186, 120.79832418 12.90465903, 120.80271934 12.89720493, 120.79833657 12.88974388, 120.78955891 12.88973672, 120.7851635 12.8971906)))",126.8078893
125,125,476532.9396,1425516.728,478438.1955,1423866.728,"MultiPolygon (((120.78517666 12.88227545, 120.78955891 12.88973672, 120.79833657 12.88974388, 120.80273146 12.88228976, 120.79834894 12.8748287, 120.7895718 12.87482155, 120.78517666 12.88227545)))",239.6725464
126,126,476532.9396,1423866.728,478438.1955,1422216.728,"MultiPolygon (((120.7851898 12.86736028, 120.7895718 12.87482155, 120.79834894 12.8748287, 120.80274357 12.86737458, 120.7983613 12.85991352, 120.78958468 12.85990637, 120.7851898 12.86736028)))",732.4038544
127,127,476532.9396,1422216.728,478438.1955,1420566.728,"MultiPolygon (((120.78520293 12.8524451, 120.78958468 12.85990637, 120.7983613 12.85991352, 120.80275566 12.85245937, 120.79837364 12.84499831, 120.78959754 12.84499118, 120.78520293 12.8524451)))",837.013031
128,128,476532.9396,1420566.728,478438.1955,1418916.728,"MultiPolygon (((120.78521604 12.8375299, 120.78959754 12.84499118, 120.79837364 12.84499831, 120.80276773 12.83754416, 120.79838597 12.83008309, 120.78961038 12.83007596, 120.78521604 12.8375299)))",129.9716377
129,129,476532.9396,1418916.728,478438.1955,1417266.728,"MultiPolygon (((120.78522913 12.82261468, 120.78961038 12.83007596, 120.79838597 12.83008309, 120.80277979 12.82262892, 120.79839828 12.81516785, 120.78962321 12.81516073, 120.78522913 12.82261468)))",60.39352036
130,130,476532.9396,1417266.728,478438.1955,1415616.728,"MultiPolygon (((120.78524221 12.80769944, 120.78962321 12.81516073, 120.79839828 12.81516785, 120.80279184 12.80771367, 120.79841058 12.80025259, 120.78963602 12.80024548, 120.78524221 12.80769944)))",39.86988258
131,131,476532.9396,1415616.728,478438.1955,1413966.728,"MultiPolygon (((120.78525528 12.79278419, 120.78963602 12.80024548, 120.79841058 12.80025259, 120.80280387 12.7927984, 120.79842286 12.78533732, 120.78964882 12.78533022, 120.78525528 12.79278419)))",36.45482635
132,132,476532.9396,1413966.728,478438.1955,1412316.728,"MultiPolygon (((120.78526832 12.77786892, 120.78964882 12.78533022, 120.79842286 12.78533732, 120.80281589 12.77788312, 120.79843513 12.77042203, 120.7896616 12.77041494, 120.78526832 12.77786892)))",83.03134727
133,133,476532.9396,1412316.728,478438.1955,1410666.728,"MultiPolygon (((120.78528135 12.76295364, 120.7896616 12.77041494, 120.79843513 12.77042203, 120.80282789 12.76296781, 120.79844738 12.75550672, 120.78967437 12.75549964, 120.78528135 12.76295364)))",182.8433533
134,134,476532.9396,1410666.728,478438.1955,1409016.728,"MultiPolygon (((120.78529437 12.74803833, 120.78967437 12.75549964, 120.79844738 12.75550672, 120.80283988 12.74805249, 120.79845962 12.7405914, 120.78968712 12.74058432, 120.78529437 12.74803833)))",331.8771591
135,135,476532.9396,1409016.728,478438.1955,1407366.728,"MultiPolygon (((120.78530737 12.73312301, 120.78968712 12.74058432, 120.79845962 12.7405914, 120.80285185 12.73313716, 120.79847184 12.72567606, 120.78969985 12.72566899, 120.78530737 12.73312301)))",112.4160118
136,136,476532.9396,1407366.728,478438.1955,1405716.728,"MultiPolygon (((120.78532035 12.71820768, 120.78969985 12.72566899, 120.79847184 12.72567606, 120.80286381 12.71822181, 120.79848405 12.7107607, 120.78971257 12.71075364, 120.78532035 12.71820768)))",133.0301182
154,154,477961.8816,1436241.728,479867.1374,1434591.728,"MultiPolygon (((120.79826202 12.97923455, 120.80264631 12.98669558, 120.81142737 12.98670235, 120.81582362 12.97924808, 120.81143906 12.97178727, 120.80265852 12.97178051, 120.79826202 12.97923455)))",319.1649628
155,155,477961.8816,1434591.728,479867.1374,1432941.728,"MultiPolygon (((120.79827448 12.96431948, 120.80265852 12.97178051, 120.81143906 12.97178727, 120.81583503 12.964333, 120.81145073 12.95687218, 120.80267071 12.95686543, 120.79827448 12.96431948)))",66.37104511
156,156,477961.8816,1432941.728,479867.1374,1431291.728,"MultiPolygon (((120.79828693 12.9494044, 120.80267071 12.95686543, 120.81145073 12.95687218, 120.81584644 12.94941789, 120.81146239 12.94195707, 120.80268289 12.94195033, 120.79828693 12.9494044)))",46.39176464
157,157,477961.8816,1431291.728,479867.1374,1429641.728,"MultiPolygon (((120.79829936 12.93448929, 120.80268289 12.94195033, 120.81146239 12.94195707, 120.81585783 12.93450277, 120.81147403 12.92704195, 120.80269506 12.92703521, 120.79829936 12.93448929)))",54.33431625
158,158,477961.8816,1429641.728,479867.1374,1427991.728,"MultiPolygon (((120.79831178 12.91957417, 120.80269506 12.92703521, 120.81147403 12.92704195, 120.8158692 12.91958764, 120.81148566 12.91212681, 120.80270721 12.91212008, 120.79831178 12.91957417)))",72.73437119
159,159,477961.8816,1427991.728,479867.1374,1426341.728,"MultiPolygon (((120.79832418 12.90465903, 120.80270721 12.91212008, 120.81148566 12.91212681, 120.81588056 12.90467248, 120.81149727 12.89721165, 120.80271934 12.89720493, 120.79832418 12.90465903)))",98.84300137
160,160,477961.8816,1426341.728,479867.1374,1424691.728,"MultiPolygon (((120.79833657 12.88974388, 120.80271934 12.89720493, 120.81149727 12.89721165, 120.81589191 12.88975731, 120.81150887 12.88229647, 120.80273146 12.88228976, 120.79833657 12.88974388)))",262.573143
161,161,477961.8816,1424691.728,479867.1374,1423041.728,"MultiPolygon (((120.79834894 12.8748287, 120.80273146 12.88228976, 120.81150887 12.88229647, 120.81590324 12.87484212, 120.81152046 12.86738128, 120.80274357 12.86737458, 120.79834894 12.8748287)))",430.1041374
162,162,477961.8816,1423041.728,479867.1374,1421391.728,"MultiPolygon (((120.7983613 12.85991352, 120.80274357 12.86737458, 120.81152046 12.86738128, 120.81591456 12.85992692, 120.81153203 12.85246607, 120.80275566 12.85245937, 120.7983613 12.85991352)))",214.2741547
163,163,477961.8816,1421391.728,479867.1374,1419741.728,"MultiPolygon (((120.79837364 12.84499831, 120.80275566 12.85245937, 120.81153203 12.85246607, 120.81592587 12.8450117, 120.81154359 12.83755085, 120.80276773 12.83754416, 120.79837364 12.84499831)))",212.2247314
164,164,477961.8816,1419741.728,479867.1374,1418091.728,"MultiPolygon (((120.79838597 12.83008309, 120.80276773 12.83754416, 120.81154359 12.83755085, 120.81593716 12.83009646, 120.81155513 12.8226356, 120.80277979 12.82262892, 120.79838597 12.83008309)))",71.30614948
165,165,477961.8816,1418091.728,479867.1374,1416441.728,"MultiPolygon (((120.79839828 12.81516785, 120.80277979 12.82262892, 120.81155513 12.8226356, 120.81594844 12.81518121, 120.81156666 12.80772034, 120.80279184 12.80771367, 120.79839828 12.81516785)))",29.68353653
166,166,477961.8816,1416441.728,479867.1374,1414791.728,"MultiPolygon (((120.79841058 12.80025259, 120.80279184 12.80771367, 120.81156666 12.80772034, 120.8159597 12.80026593, 120.81157818 12.79280507, 120.80280387 12.7927984, 120.79841058 12.80025259)))",30.89974785
167,167,477961.8816,1414791.728,479867.1374,1413141.728,"MultiPolygon (((120.79842286 12.78533732, 120.80280387 12.7927984, 120.81157818 12.79280507, 120.81597096 12.78535065, 120.81158968 12.77788978, 120.80281589 12.77788312, 120.79842286 12.78533732)))",21.72891617
168,168,477961.8816,1413141.728,479867.1374,1411491.728,"MultiPolygon (((120.79843513 12.77042203, 120.80281589 12.77788312, 120.81158968 12.77788978, 120.81598219 12.77043534, 120.81160117 12.76297447, 120.80282789 12.76296781, 120.79843513 12.77042203)))",31.63377571
169,169,477961.8816,1411491.728,479867.1374,1409841.728,"MultiPolygon (((120.79844738 12.75550672, 120.80282789 12.76296781, 120.81160117 12.76297447, 120.81599342 12.75552002, 120.81161264 12.74805914, 120.80283988 12.74805249, 120.79844738 12.75550672)))",76.30988312
170,170,477961.8816,1409841.728,479867.1374,1408191.728,"MultiPolygon (((120.79845962 12.7405914, 120.80283988 12.74805249, 120.81161264 12.74805914, 120.81600463 12.74060468, 120.8116241 12.7331438, 120.80285185 12.73313716, 120.79845962 12.7405914)))",44.76221752
171,171,477961.8816,1408191.728,479867.1374,1406541.728,"MultiPolygon (((120.79847184 12.72567606, 120.80285185 12.73313716, 120.8116241 12.7331438, 120.81601582 12.72568933, 120.81163555 12.71822844, 120.80286381 12.71822181, 120.79847184 12.72567606)))",111.3374507
188,188,479390.8235,1437066.728,481296.0794,1435416.728,"MultiPolygon (((120.81142737 12.98670235, 120.81581219 12.99416315, 120.82459352 12.99416948, 120.82898951 12.98671499, 120.82460442 12.9792544, 120.81582362 12.97924808, 120.81142737 12.98670235)))",373.9398668
189,189,479390.8235,1435416.728,481296.0794,1433766.728,"MultiPolygon (((120.81143906 12.97178727, 120.81582362 12.97924808, 120.82460442 12.9792544, 120.82900015 12.9717999, 120.82461532 12.96433931, 120.81583503 12.964333, 120.81143906 12.97178727)))",173.5868009
190,190,479390.8235,1433766.728,481296.0794,1432116.728,"MultiPolygon (((120.81145073 12.95687218, 120.81583503 12.964333, 120.82461532 12.96433931, 120.82901077 12.9568848, 120.8246262 12.9494242, 120.81584644 12.94941789, 120.81145073 12.95687218)))",110.2808075
191,191,479390.8235,1432116.728,481296.0794,1430466.728,"MultiPolygon (((120.81146239 12.94195707, 120.81584644 12.94941789, 120.8246262 12.9494242, 120.82902138 12.94196968, 120.82463706 12.93450907, 120.81585783 12.93450277, 120.81146239 12.94195707)))",99.19086456
192,192,479390.8235,1430466.728,481296.0794,1428816.728,"MultiPolygon (((120.81147403 12.92704195, 120.81585783 12.93450277, 120.82463706 12.93450907, 120.82903198 12.92705454, 120.82464792 12.91959393, 120.8158692 12.91958764, 120.81147403 12.92704195)))",82.02555593
193,193,479390.8235,1428816.728,481296.0794,1427166.728,"MultiPolygon (((120.81148566 12.91212681, 120.8158692 12.91958764, 120.82464792 12.91959393, 120.82904257 12.91213938, 120.82465876 12.90467877, 120.81588056 12.90467248, 120.81148566 12.91212681)))",46.30811882
194,194,479390.8235,1427166.728,481296.0794,1425516.728,"MultiPolygon (((120.81149727 12.89721165, 120.81588056 12.90467248, 120.82465876 12.90467877, 120.82905314 12.89722421, 120.82466959 12.88976359, 120.81589191 12.88975731, 120.81149727 12.89721165)))",104.2768326
195,195,479390.8235,1425516.728,481296.0794,1423866.728,"MultiPolygon (((120.81150887 12.88229647, 120.81589191 12.88975731, 120.82466959 12.88976359, 120.8290637 12.88230902, 120.8246804 12.87484839, 120.81590324 12.87484212, 120.81150887 12.88229647)))",305.6322784
196,196,479390.8235,1423866.728,481296.0794,1422216.728,"MultiPolygon (((120.81152046 12.86738128, 120.81590324 12.87484212, 120.8246804 12.87484839, 120.82907425 12.86739381, 120.8246912 12.85993318, 120.81591456 12.85992692, 120.81152046 12.86738128)))",103.0152855
197,197,479390.8235,1422216.728,481296.0794,1420566.728,"MultiPolygon (((120.81153203 12.85246607, 120.81591456 12.85992692, 120.8246912 12.85993318, 120.82908479 12.85247859, 120.82470199 12.84501795, 120.81592587 12.8450117, 120.81153203 12.85246607)))",75.42822011
198,198,479390.8235,1420566.728,481296.0794,1418916.728,"MultiPolygon (((120.81154359 12.83755085, 120.81592587 12.8450117, 120.82470199 12.84501795, 120.82909531 12.83756335, 120.82471276 12.83010271, 120.81593716 12.83009646, 120.81154359 12.83755085)))",94.24123001
199,199,479390.8235,1418916.728,481296.0794,1417266.728,"MultiPolygon (((120.81155513 12.8226356, 120.81593716 12.83009646, 120.82471276 12.83010271, 120.82910582 12.82264809, 120.82472353 12.81518745, 120.81594844 12.81518121, 120.81155513 12.8226356)))",52.54802513
200,200,479390.8235,1417266.728,481296.0794,1415616.728,"MultiPolygon (((120.81156666 12.80772034, 120.81594844 12.81518121, 120.82472353 12.81518745, 120.82911632 12.80773282, 120.82473428 12.80027217, 120.8159597 12.80026593, 120.81156666 12.80772034)))",49.26616669
201,201,479390.8235,1415616.728,481296.0794,1413966.728,"MultiPolygon (((120.81157818 12.79280507, 120.8159597 12.80026593, 120.82473428 12.80027217, 120.8291268 12.79281753, 120.82474501 12.78535687, 120.81597096 12.78535065, 120.81157818 12.79280507)))",38.6944418
202,202,479390.8235,1413966.728,481296.0794,1412316.728,"MultiPolygon (((120.81158968 12.77788978, 120.81597096 12.78535065, 120.82474501 12.78535687, 120.82913727 12.77790222, 120.82475573 12.77044156, 120.81598219 12.77043534, 120.81158968 12.77788978)))",32.77511597
203,203,479390.8235,1412316.728,481296.0794,1410666.728,"MultiPolygon (((120.81160117 12.76297447, 120.81598219 12.77043534, 120.82475573 12.77044156, 120.82914773 12.7629869, 120.82476644 12.75552623, 120.81599342 12.75552002, 120.81160117 12.76297447)))",34.68528811
204,204,479390.8235,1410666.728,481296.0794,1409016.728,"MultiPolygon (((120.81161264 12.74805914, 120.81599342 12.75552002, 120.82476644 12.75552623, 120.82915818 12.74807155, 120.82477714 12.74061088, 120.81600463 12.74060468, 120.81161264 12.74805914)))",50.99588203
205,205,479390.8235,1409016.728,481296.0794,1407366.728,"MultiPolygon (((120.8116241 12.7331438, 120.81600463 12.74060468, 120.82477714 12.74061088, 120.82916861 12.7331562, 120.82478782 12.72569552, 120.81601582 12.72568933, 120.8116241 12.7331438)))",66.46010971
206,206,479390.8235,1407366.728,481296.0794,1405716.728,"MultiPolygon (((120.81163555 12.71822844, 120.81601582 12.72568933, 120.82478782 12.72569552, 120.82917903 12.71824082, 120.82479849 12.71078014, 120.81602701 12.71077395, 120.81163555 12.71822844)))",189.6020764
224,224,480819.7654,1436241.728,482725.0213,1434591.728,"MultiPolygon (((120.82460442 12.9792544, 120.82898951 12.98671499, 120.83777058 12.98672087, 120.84216605 12.97926615, 120.8377807 12.97180578, 120.82900015 12.9717999, 120.82460442 12.9792544)))",211.5861893
225,225,480819.7654,1434591.728,482725.0213,1432941.728,"MultiPolygon (((120.82461532 12.96433931, 120.82900015 12.9717999, 120.8377807 12.97180578, 120.8421759 12.96435105, 120.8377908 12.95689066, 120.82901077 12.9568848, 120.82461532 12.96433931)))",83.36628723
226,226,480819.7654,1432941.728,482725.0213,1431291.728,"MultiPolygon (((120.8246262 12.9494242, 120.82901077 12.9568848, 120.8377908 12.95689066, 120.84218573 12.94943592, 120.83780089 12.94197554, 120.82902138 12.94196968, 120.8246262 12.9494242)))",62.26786995
227,227,480819.7654,1431291.728,482725.0213,1429641.728,"MultiPolygon (((120.82463706 12.93450907, 120.82902138 12.94196968, 120.83780089 12.94197554, 120.84219555 12.93452078, 120.83781097 12.92706039, 120.82903198 12.92705454, 120.82463706 12.93450907)))",115.9672063
228,228,480819.7654,1429641.728,482725.0213,1427991.728,"MultiPolygon (((120.82464792 12.91959393, 120.82903198 12.92705454, 120.83781097 12.92706039, 120.84220536 12.91960562, 120.83782103 12.91214523, 120.82904257 12.91213938, 120.82464792 12.91959393)))",76.98187637
229,229,480819.7654,1427991.728,482725.0213,1426341.728,"MultiPolygon (((120.82465876 12.90467877, 120.82904257 12.91213938, 120.83782103 12.91214523, 120.84221516 12.90469045, 120.83783109 12.89723005, 120.82905314 12.89722421, 120.82465876 12.90467877)))",100.6183446
230,230,480819.7654,1426341.728,482725.0213,1424691.728,"MultiPolygon (((120.82466959 12.88976359, 120.82905314 12.89722421, 120.83783109 12.89723005, 120.84222495 12.88977526, 120.83784113 12.88231485, 120.8290637 12.88230902, 120.82466959 12.88976359)))",427.6791687
231,231,480819.7654,1424691.728,482725.0213,1423041.728,"MultiPolygon (((120.8246804 12.87484839, 120.8290637 12.88230902, 120.83784113 12.88231485, 120.84223473 12.87486005, 120.83785116 12.86739964, 120.82907425 12.86739381, 120.8246804 12.87484839)))",275.6437912
232,232,480819.7654,1423041.728,482725.0213,1421391.728,"MultiPolygon (((120.8246912 12.85993318, 120.82907425 12.86739381, 120.83785116 12.86739964, 120.84224449 12.85994482, 120.83786117 12.85248441, 120.82908479 12.85247859, 120.8246912 12.85993318)))",77.60093816
233,233,480819.7654,1421391.728,482725.0213,1419741.728,"MultiPolygon (((120.82470199 12.84501795, 120.82908479 12.85247859, 120.83786117 12.85248441, 120.84225424 12.84502958, 120.83787118 12.83756916, 120.82909531 12.83756335, 120.82470199 12.84501795)))",64.17419815
234,234,480819.7654,1419741.728,482725.0213,1418091.728,"MultiPolygon (((120.82471276 12.83010271, 120.82909531 12.83756335, 120.83787118 12.83756916, 120.84226398 12.83011432, 120.83788117 12.8226539, 120.82910582 12.82264809, 120.82471276 12.83010271)))",65.54134115
235,235,480819.7654,1418091.728,482725.0213,1416441.728,"MultiPolygon (((120.82472353 12.81518745, 120.82910582 12.82264809, 120.83788117 12.8226539, 120.84227371 12.81519905, 120.83789115 12.80773862, 120.82911632 12.80773282, 120.82472353 12.81518745)))",95.55804062
236,236,480819.7654,1416441.728,482725.0213,1414791.728,"MultiPolygon (((120.82473428 12.80027217, 120.82911632 12.80773282, 120.83789115 12.80773862, 120.84228343 12.80028376, 120.83790112 12.79282332, 120.8291268 12.79281753, 120.82473428 12.80027217)))",187.3348637
237,237,480819.7654,1414791.728,482725.0213,1413141.728,"MultiPolygon (((120.82474501 12.78535687, 120.8291268 12.79281753, 120.83790112 12.79282332, 120.84229313 12.78536845, 120.83791108 12.777908, 120.82913727 12.77790222, 120.82474501 12.78535687)))",73.94545364
238,238,480819.7654,1413141.728,482725.0213,1411491.728,"MultiPolygon (((120.82475573 12.77044156, 120.82913727 12.77790222, 120.83791108 12.777908, 120.84230283 12.77045312, 120.83792102 12.76299267, 120.82914773 12.7629869, 120.82475573 12.77044156)))",35.32730675
239,239,480819.7654,1411491.728,482725.0213,1409841.728,"MultiPolygon (((120.82476644 12.75552623, 120.82914773 12.7629869, 120.83792102 12.76299267, 120.84231251 12.75553778, 120.83793096 12.74807733, 120.82915818 12.74807155, 120.82476644 12.75552623)))",33.58775012
240,240,480819.7654,1409841.728,482725.0213,1408191.728,"MultiPolygon (((120.82477714 12.74061088, 120.82915818 12.74807155, 120.83793096 12.74807733, 120.84232218 12.74062242, 120.83794088 12.73316196, 120.82916861 12.7331562, 120.82477714 12.74061088)))",40.86975002
241,241,480819.7654,1408191.728,482725.0213,1406541.728,"MultiPolygon (((120.82478782 12.72569552, 120.82916861 12.7331562, 120.83794088 12.73316196, 120.84233184 12.72570704, 120.83795078 12.71824658, 120.82917903 12.71824082, 120.82478782 12.72569552)))",249.9569626
258,258,482248.7073,1437066.728,484153.9632,1435416.728,"MultiPolygon (((120.83777058 12.98672087, 120.84215619 12.99418124, 120.85093753 12.99418668, 120.85533274 12.98673174, 120.85094687 12.97927158, 120.84216605 12.97926615, 120.83777058 12.98672087)))",161.4356842
259,259,482248.7073,1435416.728,484153.9632,1433766.728,"MultiPolygon (((120.8377807 12.97180578, 120.84216605 12.97926615, 120.85094687 12.97927158, 120.85534181 12.97181663, 120.85095619 12.96435647, 120.8421759 12.96435105, 120.8377807 12.97180578)))",150.434227
260,260,482248.7073,1433766.728,484153.9632,1432116.728,"MultiPolygon (((120.8377908 12.95689066, 120.8421759 12.96435105, 120.85095619 12.96435647, 120.85535087 12.95690151, 120.8509655 12.94944134, 120.84218573 12.94943592, 120.8377908 12.95689066)))",145.3583145
261,261,482248.7073,1432116.728,484153.9632,1430466.728,"MultiPolygon (((120.83780089 12.94197554, 120.84218573 12.94943592, 120.8509655 12.94944134, 120.85535991 12.94198636, 120.8509748 12.93452619, 120.84219555 12.93452078, 120.83780089 12.94197554)))",115.7382711
262,262,482248.7073,1430466.728,484153.9632,1428816.728,"MultiPolygon (((120.83781097 12.92706039, 120.84219555 12.93452078, 120.8509748 12.93452619, 120.85536895 12.92707121, 120.85098409 12.91961103, 120.84220536 12.91960562, 120.83781097 12.92706039)))",134.5793406
