fid,LH,fid_2,id,left,top,right,bottom,geom_wkt
"1",1,168,168,477961.881557135668118,1413141.728244151687250,479867.137445461470634,1411491.728244151687250,"MultiPolygon (((120.79843513 12.77042203, 120.80281589 12.77788312, 120.81158968 12.77788978, 120.81598219 12.77043534, 120.81160117 12.76297447, 120.80282789 12.76296781, 120.79843513 12.77042203)))"
"1",1,169,169,477961.881557135668118,1411491.728244151687250,479867.137445461470634,1409841.728244151687250,"MultiPolygon (((120.79844738 12.75550672, 120.80282789 12.76296781, 120.81160117 12.76297447, 120.81599342 12.75552002, 120.81161264 12.74805914, 120.80283988 12.74805249, 120.79844738 12.75550672)))"
"1",1,188,188,479390.823473380005453,1437066.728244151687250,481296.079361705807969,1435416.728244151687250,"MultiPolygon (((120.81142737 12.98670235, 120.81581219 12.99416315, 120.82459352 12.99416948, 120.82898951 12.98671499, 120.82460442 12.9792544, 120.81582362 12.97924808, 120.81142737 12.98670235)))"
"1",1,195,195,479390.823473380005453,1425516.728244151687250,481296.079361705807969,1423866.728244151687250,"MultiPolygon (((120.81150887 12.88229647, 120.81589191 12.88975731, 120.82466959 12.88976359, 120.8290637 12.88230902, 120.8246804 12.87484839, 120.81590324 12.87484212, 120.81150887 12.88229647)))"
"1",1,196,196,479390.823473380005453,1423866.728244151687250,481296.079361705807969,1422216.728244151687250,"MultiPolygon (((120.81152046 12.86738128, 120.81590324 12.87484212, 120.8246804 12.87484839, 120.82907425 12.86739381, 120.8246912 12.85993318, 120.81591456 12.85992692, 120.81152046 12.86738128)))"
"1",1,197,197,479390.823473380005453,1422216.728244151687250,481296.079361705807969,1420566.728244151687250,"MultiPolygon (((120.81153203 12.85246607, 120.81591456 12.85992692, 120.8246912 12.85993318, 120.82908479 12.85247859, 120.82470199 12.84501795, 120.81592587 12.8450117, 120.81153203 12.85246607)))"
"1",1,198,198,479390.823473380005453,1420566.728244151687250,481296.079361705807969,1418916.728244151687250,"MultiPolygon (((120.81154359 12.83755085, 120.81592587 12.8450117, 120.82470199 12.84501795, 120.82909531 12.83756335, 120.82471276 12.83010271, 120.81593716 12.83009646, 120.81154359 12.83755085)))"
"1",1,199,199,479390.823473380005453,1418916.728244151687250,481296.079361705807969,1417266.728244151687250,"MultiPolygon (((120.81155513 12.8226356, 120.81593716 12.83009646, 120.82471276 12.83010271, 120.82910582 12.82264809, 120.82472353 12.81518745, 120.81594844 12.81518121, 120.81155513 12.8226356)))"
"1",1,200,200,479390.823473380005453,1417266.728244151687250,481296.079361705807969,1415616.728244151687250,"MultiPolygon (((120.81156666 12.80772034, 120.81594844 12.81518121, 120.82472353 12.81518745, 120.82911632 12.80773282, 120.82473428 12.80027217, 120.8159597 12.80026593, 120.81156666 12.80772034)))"
"1",1,201,201,479390.823473380005453,1415616.728244151687250,481296.079361705807969,1413966.728244151687250,"MultiPolygon (((120.81157818 12.79280507, 120.8159597 12.80026593, 120.82473428 12.80027217, 120.8291268 12.79281753, 120.82474501 12.78535687, 120.81597096 12.78535065, 120.81157818 12.79280507)))"
"1",1,202,202,479390.823473380005453,1413966.728244151687250,481296.079361705807969,1412316.728244151687250,"MultiPolygon (((120.81158968 12.77788978, 120.81597096 12.78535065, 120.82474501 12.78535687, 120.82913727 12.77790222, 120.82475573 12.77044156, 120.81598219 12.77043534, 120.81158968 12.77788978)))"
"1",1,203,203,479390.823473380005453,1412316.728244151687250,481296.079361705807969,1410666.728244151687250,"MultiPolygon (((120.81160117 12.76297447, 120.81598219 12.77043534, 120.82475573 12.77044156, 120.82914773 12.7629869, 120.82476644 12.75552623, 120.81599342 12.75552002, 120.81160117 12.76297447)))"
"1",1,204,204,479390.823473380005453,1410666.728244151687250,481296.079361705807969,1409016.728244151687250,"MultiPolygon (((120.81161264 12.74805914, 120.81599342 12.75552002, 120.82476644 12.75552623, 120.82915818 12.74807155, 120.82477714 12.74061088, 120.81600463 12.74060468, 120.81161264 12.74805914)))"
"1",1,205,205,479390.823473380005453,1409016.728244151687250,481296.079361705807969,1407366.728244151687250,"MultiPolygon (((120.8116241 12.7331438, 120.81600463 12.74060468, 120.82477714 12.74061088, 120.82916861 12.7331562, 120.82478782 12.72569552, 120.81601582 12.72568933, 120.8116241 12.7331438)))"
"1",1,231,231,480819.765389624342788,1424691.728244151687250,482725.021277950087097,1423041.728244151687250,"MultiPolygon (((120.8246804 12.87484839, 120.8290637 12.88230902, 120.83784113 12.88231485, 120.84223473 12.87486005, 120.83785116 12.86739964, 120.82907425 12.86739381, 120.8246804 12.87484839)))"
"1",1,232,232,480819.765389624342788,1423041.728244151687250,482725.021277950087097,1421391.728244151920080,"MultiPolygon (((120.8246912 12.85993318, 120.82907425 12.86739381, 120.83785116 12.86739964, 120.84224449 12.85994482, 120.83786117 12.85248441, 120.82908479 12.85247859, 120.8246912 12.85993318)))"
"1",1,233,233,480819.765389624342788,1421391.728244151920080,482725.021277950087097,1419741.728244151687250,"MultiPolygon (((120.82470199 12.84501795, 120.82908479 12.85247859, 120.83786117 12.85248441, 120.84225424 12.84502958, 120.83787118 12.83756916, 120.82909531 12.83756335, 120.82470199 12.84501795)))"
"1",1,234,234,480819.765389624342788,1419741.728244151687250,482725.021277950087097,1418091.728244151687250,"MultiPolygon (((120.82471276 12.83010271, 120.82909531 12.83756335, 120.83787118 12.83756916, 120.84226398 12.83011432, 120.83788117 12.8226539, 120.82910582 12.82264809, 120.82471276 12.83010271)))"
"1",1,235,235,480819.765389624342788,1418091.728244151687250,482725.021277950087097,1416441.728244151687250,"MultiPolygon (((120.82472353 12.81518745, 120.82910582 12.82264809, 120.83788117 12.8226539, 120.84227371 12.81519905, 120.83789115 12.80773862, 120.82911632 12.80773282, 120.82472353 12.81518745)))"
"1",1,236,236,480819.765389624342788,1416441.728244151687250,482725.021277950087097,1414791.728244151920080,"MultiPolygon (((120.82473428 12.80027217, 120.82911632 12.80773282, 120.83789115 12.80773862, 120.84228343 12.80028376, 120.83790112 12.79282332, 120.8291268 12.79281753, 120.82473428 12.80027217)))"
"1",1,237,237,480819.765389624342788,1414791.728244151920080,482725.021277950087097,1413141.728244151687250,"MultiPolygon (((120.82474501 12.78535687, 120.8291268 12.79281753, 120.83790112 12.79282332, 120.84229313 12.78536845, 120.83791108 12.777908, 120.82913727 12.77790222, 120.82474501 12.78535687)))"
"1",1,239,239,480819.765389624342788,1411491.728244151687250,482725.021277950087097,1409841.728244151687250,"MultiPolygon (((120.82476644 12.75552623, 120.82914773 12.7629869, 120.83792102 12.76299267, 120.84231251 12.75553778, 120.83793096 12.74807733, 120.82915818 12.74807155, 120.82476644 12.75552623)))"
"1",1,240,240,480819.765389624342788,1409841.728244151687250,482725.021277950087097,1408191.728244151920080,"MultiPolygon (((120.82477714 12.74061088, 120.82915818 12.74807155, 120.83793096 12.74807733, 120.84232218 12.74062242, 120.83794088 12.73316196, 120.82916861 12.7331562, 120.82477714 12.74061088)))"
"1",1,258,258,482248.707305868621916,1437066.728244151687250,484153.963194194366224,1435416.728244151687250,"MultiPolygon (((120.83777058 12.98672087, 120.84215619 12.99418124, 120.85093753 12.99418668, 120.85533274 12.98673174, 120.85094687 12.97927158, 120.84216605 12.97926615, 120.83777058 12.98672087)))"
"1",1,259,259,482248.707305868621916,1435416.728244151687250,484153.963194194366224,1433766.728244151687250,"MultiPolygon (((120.8377807 12.97180578, 120.84216605 12.97926615, 120.85094687 12.97927158, 120.85534181 12.97181663, 120.85095619 12.96435647, 120.8421759 12.96435105, 120.8377807 12.97180578)))"
"1",1,265,265,482248.707305868621916,1425516.728244151687250,484153.963194194366224,1423866.728244151687250,"MultiPolygon (((120.83784113 12.88231485, 120.84222495 12.88977526, 120.85100264 12.88978065, 120.85539599 12.88232563, 120.8510119 12.87486544, 120.84223473 12.87486005, 120.83784113 12.88231485)))"
"1",1,266,266,482248.707305868621916,1423866.728244151687250,484153.963194194366224,1422216.728244151687250,"MultiPolygon (((120.83785116 12.86739964, 120.84223473 12.87486005, 120.8510119 12.87486544, 120.85540498 12.86741041, 120.85102114 12.85995021, 120.84224449 12.85994482, 120.83785116 12.86739964)))"
"1",1,267,267,482248.707305868621916,1422216.728244151687250,484153.963194194366224,1420566.728244151687250,"MultiPolygon (((120.83786117 12.85248441, 120.84224449 12.85994482, 120.85102114 12.85995021, 120.85541396 12.85249516, 120.85103038 12.84503496, 120.84225424 12.84502958, 120.83786117 12.85248441)))"
"1",1,268,268,482248.707305868621916,1420566.728244151687250,484153.963194194366224,1418916.728244151687250,"MultiPolygon (((120.83787118 12.83756916, 120.84225424 12.84502958, 120.85103038 12.84503496, 120.85542293 12.8375799, 120.8510396 12.83011969, 120.84226398 12.83011432, 120.83787118 12.83756916)))"
"1",1,269,269,482248.707305868621916,1418916.728244151687250,484153.963194194366224,1417266.728244151687250,"MultiPolygon (((120.83788117 12.8226539, 120.84226398 12.83011432, 120.8510396 12.83011969, 120.85543189 12.82266463, 120.85104881 12.81520441, 120.84227371 12.81519905, 120.83788117 12.8226539)))"
"1",1,270,270,482248.707305868621916,1417266.728244151687250,484153.963194194366224,1415616.728244151687250,"MultiPolygon (((120.83789115 12.80773862, 120.84227371 12.81519905, 120.85104881 12.81520441, 120.85544083 12.80774933, 120.85105801 12.80028911, 120.84228343 12.80028376, 120.83789115 12.80773862)))"
"1",1,271,271,482248.707305868621916,1415616.728244151687250,484153.963194194366224,1413966.728244151687250,"MultiPolygon (((120.83790112 12.79282332, 120.84228343 12.80028376, 120.85105801 12.80028911, 120.85544977 12.79283402, 120.8510672 12.7853738, 120.84229313 12.78536845, 120.83790112 12.79282332)))"
"1",1,272,272,482248.707305868621916,1413966.728244151687250,484153.963194194366224,1412316.728244151687250,"MultiPolygon (((120.83791108 12.777908, 120.84229313 12.78536845, 120.8510672 12.7853738, 120.8554587 12.7779187, 120.85107638 12.77045847, 120.84230283 12.77045312, 120.83791108 12.777908)))"
"1",1,273,273,482248.707305868621916,1412316.728244151687250,484153.963194194366224,1410666.728244151687250,"MultiPolygon (((120.83792102 12.76299267, 120.84230283 12.77045312, 120.85107638 12.77045847, 120.85546761 12.76300335, 120.85108555 12.75554312, 120.84231251 12.75553778, 120.83792102 12.76299267)))"
"1",1,274,274,482248.707305868621916,1410666.728244151687250,484153.963194194366224,1409016.728244151687250,"MultiPolygon (((120.83793096 12.74807733, 120.84231251 12.75553778, 120.85108555 12.75554312, 120.85547652 12.74808799, 120.8510947 12.74062775, 120.84232218 12.74062242, 120.83793096 12.74807733)))"
"1",1,275,275,482248.707305868621916,1409016.728244151687250,484153.963194194366224,1407366.728244151687250,"MultiPolygon (((120.83794088 12.73316196, 120.84232218 12.74062242, 120.8510947 12.74062775, 120.85548541 12.73317262, 120.85110385 12.72571237, 120.84233184 12.72570704, 120.83794088 12.73316196)))"
"1",1,294,294,483677.649222112959251,1436241.728244151687250,485582.905110438761767,1434591.728244151920080,"MultiPolygon (((120.85094687 12.97927158, 120.85533274 12.98673174, 120.86411383 12.98673673, 120.86850851 12.97928155, 120.86412237 12.97182161, 120.85534181 12.97181663, 120.85094687 12.97927158)))"
"1",1,295,295,483677.649222112959251,1434591.728244151920080,485582.905110438761767,1432941.728244151687250,"MultiPolygon (((120.85095619 12.96435647, 120.85534181 12.97181663, 120.86412237 12.97182161, 120.86851679 12.96436643, 120.86413091 12.95690648, 120.85535087 12.95690151, 120.85095619 12.96435647)))"
"1",1,296,296,483677.649222112959251,1432941.728244151687250,485582.905110438761767,1431291.728244151687250,"MultiPolygon (((120.8509655 12.94944134, 120.85535087 12.95690151, 120.86413091 12.95690648, 120.86852506 12.94945129, 120.86413943 12.94199134, 120.85535991 12.94198636, 120.8509655 12.94944134)))"
"1",1,301,301,483677.649222112959251,1424691.728244151687250,485582.905110438761767,1423041.728244151687250,"MultiPolygon (((120.8510119 12.87486544, 120.85539599 12.88232563, 120.86417342 12.88233058, 120.86856625 12.87487533, 120.86418189 12.86741535, 120.85540498 12.86741041, 120.8510119 12.87486544)))"
"1",1,302,302,483677.649222112959251,1423041.728244151687250,485582.905110438761767,1421391.728244151920080,"MultiPolygon (((120.85102114 12.85995021, 120.85540498 12.86741041, 120.86418189 12.86741535, 120.86857445 12.85996009, 120.86419035 12.8525001, 120.85541396 12.85249516, 120.85102114 12.85995021)))"
"1",1,303,303,483677.649222112959251,1421391.728244151920080,485582.905110438761767,1419741.728244151687250,"MultiPolygon (((120.85103038 12.84503496, 120.85541396 12.85249516, 120.86419035 12.8525001, 120.86858265 12.84504483, 120.86419881 12.83758484, 120.85542293 12.8375799, 120.85103038 12.84503496)))"
"1",1,304,304,483677.649222112959251,1419741.728244151687250,485582.905110438761767,1418091.728244151687250,"MultiPolygon (((120.8510396 12.83011969, 120.85542293 12.8375799, 120.86419881 12.83758484, 120.86859084 12.83012955, 120.86420725 12.82266955, 120.85543189 12.82266463, 120.8510396 12.83011969)))"
"1",1,305,305,483677.649222112959251,1418091.728244151687250,485582.905110438761767,1416441.728244151687250,"MultiPolygon (((120.85104881 12.81520441, 120.85543189 12.82266463, 120.86420725 12.82266955, 120.86859902 12.81521426, 120.86421568 12.80775425, 120.85544083 12.80774933, 120.85104881 12.81520441)))"
"1",1,306,306,483677.649222112959251,1416441.728244151687250,485582.905110438761767,1414791.728244151920080,"MultiPolygon (((120.85105801 12.80028911, 120.85544083 12.80774933, 120.86421568 12.80775425, 120.86860719 12.80029895, 120.8642241 12.79283894, 120.85544977 12.79283402, 120.85105801 12.80028911)))"
"1",1,307,307,483677.649222112959251,1414791.728244151920080,485582.905110438761767,1413141.728244151687250,"MultiPolygon (((120.8510672 12.7853738, 120.85544977 12.79283402, 120.8642241 12.79283894, 120.86861535 12.78538362, 120.86423251 12.77792361, 120.8554587 12.7779187, 120.8510672 12.7853738)))"
"1",1,308,308,483677.649222112959251,1413141.728244151687250,485582.905110438761767,1411491.728244151687250,"MultiPolygon (((120.85107638 12.77045847, 120.8554587 12.7779187, 120.86423251 12.77792361, 120.8686235 12.77046828, 120.86424092 12.76300826, 120.85546761 12.76300335, 120.85107638 12.77045847)))"
"1",1,309,309,483677.649222112959251,1411491.728244151687250,485582.905110438761767,1409841.728244151687250,"MultiPolygon (((120.85108555 12.75554312, 120.85546761 12.76300335, 120.86424092 12.76300826, 120.86863164 12.75555292, 120.86424931 12.74809289, 120.85547652 12.74808799, 120.85108555 12.75554312)))"
"1",1,310,310,483677.649222112959251,1409841.728244151687250,485582.905110438761767,1408191.728244151920080,"MultiPolygon (((120.8510947 12.74062775, 120.85547652 12.74808799, 120.86424931 12.74809289, 120.86863977 12.74063754, 120.86425769 12.73317751, 120.85548541 12.73317262, 120.8510947 12.74062775)))"
"1",1,312,312,483677.649222112959251,1406541.728244151687250,485582.905110438761767,1404891.728244151687250,"MultiPolygon (((120.85111298 12.71079697, 120.8554943 12.71825722, 120.86426606 12.71826211, 120.86865599 12.71080674, 120.86427442 12.7033467, 120.85550317 12.70334181, 120.85111298 12.71079697)))"
"1",1,313,313,483677.649222112959251,1404891.728244151687250,485582.905110438761767,1403241.728244151687250,"MultiPolygon (((120.85112211 12.69588156, 120.85550317 12.70334181, 120.86427442 12.7033467, 120.86866409 12.69589131, 120.86428277 12.68843126, 120.85551203 12.68842639, 120.85112211 12.69588156)))"
"1",1,329,329,485106.591138357296586,1435416.728244151687250,487011.847026683099102,1433766.728244151687250,"MultiPolygon (((120.86412237 12.97182161, 120.86850851 12.97928155, 120.87728934 12.97928609, 120.88168351 12.97183069, 120.8772971 12.96437096, 120.86851679 12.96436643, 120.86412237 12.97182161)))"
"1",1,330,330,485106.591138357296586,1433766.728244151687250,487011.847026683099102,1432116.728244151687250,"MultiPolygon (((120.86413091 12.95690648, 120.86851679 12.96436643, 120.8772971 12.96437096, 120.88169099 12.95691555, 120.87730484 12.94945582, 120.86852506 12.94945129, 120.86413091 12.95690648)))"
"1",1,331,331,485106.591138357296586,1432116.728244151687250,487011.847026683099102,1430466.728244151687250,"MultiPolygon (((120.86413943 12.94199134, 120.86852506 12.94945129, 120.87730484 12.94945582, 120.88169847 12.94200039, 120.87731258 12.93454066, 120.86853332 12.93453613, 120.86413943 12.94199134)))"
"1",1,334,334,485106.591138357296586,1427166.728244151687250,487011.847026683099102,1425516.728244151687250,"MultiPolygon (((120.86416494 12.89724579, 120.8685498 12.90470576, 120.87732802 12.90471028, 120.88172086 12.89725482, 120.87733573 12.88979506, 120.86855803 12.88979055, 120.86416494 12.89724579)))"
"1",1,335,335,485106.591138357296586,1425516.728244151687250,487011.847026683099102,1423866.728244151687250,"MultiPolygon (((120.86417342 12.88233058, 120.86855803 12.88979055, 120.87733573 12.88979506, 120.8817283 12.8823396, 120.87734343 12.87487983, 120.86856625 12.87487533, 120.86417342 12.88233058)))"
"1",1,336,336,485106.591138357296586,1423866.728244151687250,487011.847026683099102,1422216.728244151687250,"MultiPolygon (((120.86418189 12.86741535, 120.86856625 12.87487533, 120.87734343 12.87487983, 120.88173573 12.86742435, 120.87735112 12.85996459, 120.86857445 12.85996009, 120.86418189 12.86741535)))"
"1",1,337,337,485106.591138357296586,1422216.728244151687250,487011.847026683099102,1420566.728244151687250,"MultiPolygon (((120.86419035 12.8525001, 120.86857445 12.85996009, 120.87735112 12.85996459, 120.88174316 12.8525091, 120.8773588 12.84504932, 120.86858265 12.84504483, 120.86419035 12.8525001)))"
"1",1,338,338,485106.591138357296586,1420566.728244151687250,487011.847026683099102,1418916.728244151687250,"MultiPolygon (((120.86419881 12.83758484, 120.86858265 12.84504483, 120.8773588 12.84504932, 120.88175058 12.83759382, 120.87736647 12.83013404, 120.86859084 12.83012955, 120.86419881 12.83758484)))"
"1",1,339,339,485106.591138357296586,1418916.728244151687250,487011.847026683099102,1417266.728244151687250,"MultiPolygon (((120.86420725 12.82266955, 120.86859084 12.83012955, 120.87736647 12.83013404, 120.88175798 12.82267853, 120.87737413 12.81521874, 120.86859902 12.81521426, 120.86420725 12.82266955)))"
"1",1,340,340,485106.591138357296586,1417266.728244151687250,487011.847026683099102,1415616.728244151687250,"MultiPolygon (((120.86421568 12.80775425, 120.86859902 12.81521426, 120.87737413 12.81521874, 120.88176538 12.80776322, 120.87738178 12.80030343, 120.86860719 12.80029895, 120.86421568 12.80775425)))"
"1",1,341,341,485106.591138357296586,1415616.728244151687250,487011.847026683099102,1413966.728244151687250,"MultiPolygon (((120.8642241 12.79283894, 120.86860719 12.80029895, 120.87738178 12.80030343, 120.88177277 12.79284789, 120.87738942 12.7853881, 120.86861535 12.78538362, 120.8642241 12.79283894)))"
"1",1,342,342,485106.591138357296586,1413966.728244151687250,487011.847026683099102,1412316.728244151687250,"MultiPolygon (((120.86423251 12.77792361, 120.86861535 12.78538362, 120.87738942 12.7853881, 120.88178015 12.77793255, 120.87739706 12.77047275, 120.8686235 12.77046828, 120.86423251 12.77792361)))"
"1",1,343,343,485106.591138357296586,1412316.728244151687250,487011.847026683099102,1410666.728244151687250,"MultiPolygon (((120.86424092 12.76300826, 120.8686235 12.77046828, 120.87739706 12.77047275, 120.88178753 12.76301719, 120.87740468 12.75555738, 120.86863164 12.75555292, 120.86424092 12.76300826)))"
"1",1,344,344,485106.591138357296586,1410666.728244151687250,487011.847026683099102,1409016.728244151687250,"MultiPolygon (((120.86424931 12.74809289, 120.86863164 12.75555292, 120.87740468 12.75555738, 120.88179489 12.74810182, 120.8774123 12.740642, 120.86863977 12.74063754, 120.86424931 12.74809289)))"
"1",1,345,345,485106.591138357296586,1409016.728244151687250,487011.847026683099102,1407366.728244151687250,"MultiPolygon (((120.86425769 12.73317751, 120.86863977 12.74063754, 120.8774123 12.740642, 120.88180225 12.73318642, 120.87741991 12.7257266, 120.86864788 12.72572215, 120.86425769 12.73317751)))"
"1",1,346,346,485106.591138357296586,1407366.728244151687250,487011.847026683099102,1405716.728244151687250,"MultiPolygon (((120.86426606 12.71826211, 120.86864788 12.72572215, 120.87741991 12.7257266, 120.88180959 12.71827101, 120.87742751 12.71081119, 120.86865599 12.71080674, 120.86426606 12.71826211)))"
"1",1,347,347,485106.591138357296586,1405716.728244151687250,487011.847026683099102,1404066.728244151687250,"MultiPolygon (((120.86427442 12.7033467, 120.86865599 12.71080674, 120.87742751 12.71081119, 120.88181693 12.70335559, 120.87743509 12.69589576, 120.86866409 12.69589131, 120.86427442 12.7033467)))"
