fid,id,left,top,right,bottom,geom_wkt,fid_2,LH
97,97,475103.9977,1414791.728,477009.2536,1413141.728,"MultiPolygon (((120.77210075 12.78531514, 120.77648099 12.79277665, 120.78525528 12.79278419, 120.78964882 12.78533022, 120.78526832 12.77786892, 120.77649455 12.77786139, 120.77210075 12.78531514)))",3,2
98,98,475103.9977,1413141.728,477009.2536,1411491.728,"MultiPolygon (((120.77211457 12.77039988, 120.77649455 12.77786139, 120.78526832 12.77786892, 120.7896616 12.77041494, 120.78528135 12.76295364, 120.77650809 12.76294611, 120.77211457 12.77039988)))",,
100,100,475103.9977,1409841.728,477009.2536,1408191.728,"MultiPolygon (((120.77214214 12.7405693, 120.77652162 12.74803082, 120.78529437 12.74803833, 120.78968712 12.74058432, 120.78530737 12.73312301, 120.77653513 12.73311551, 120.77214214 12.7405693)))",,
118,118,476532.9396,1437066.728,478438.1955,1435416.728,"MultiPolygon (((120.78508421 12.98668115, 120.78946823 12.99414239, 120.79824954 12.99414961, 120.80264631 12.98669558, 120.79826202 12.97923455, 120.78948123 12.97922735, 120.78508421 12.98668115)))",,
119,119,476532.9396,1435416.728,478438.1955,1433766.728,"MultiPolygon (((120.78509746 12.9717661, 120.78948123 12.97922735, 120.79826202 12.97923455, 120.80265852 12.97178051, 120.79827448 12.96431948, 120.78949421 12.96431228, 120.78509746 12.9717661)))",,
120,120,476532.9396,1433766.728,478438.1955,1432116.728,"MultiPolygon (((120.7851107 12.95685104, 120.78949421 12.96431228, 120.79827448 12.96431948, 120.80267071 12.95686543, 120.79828693 12.9494044, 120.78950718 12.9493972, 120.7851107 12.95685104)))",,
121,121,476532.9396,1432116.728,478438.1955,1430466.728,"MultiPolygon (((120.78512392 12.94193595, 120.78950718 12.9493972, 120.79828693 12.9494044, 120.80268289 12.94195033, 120.79829936 12.93448929, 120.78952014 12.93448211, 120.78512392 12.94193595)))",,
122,122,476532.9396,1430466.728,478438.1955,1428816.728,"MultiPolygon (((120.78513713 12.92702085, 120.78952014 12.93448211, 120.79829936 12.93448929, 120.80269506 12.92703521, 120.79831178 12.91957417, 120.78953308 12.91956699, 120.78513713 12.92702085)))",,
123,123,476532.9396,1428816.728,478438.1955,1427166.728,"MultiPolygon (((120.78515032 12.91210574, 120.78953308 12.91956699, 120.79831178 12.91957417, 120.80270721 12.91212008, 120.79832418 12.90465903, 120.789546 12.90465186, 120.78515032 12.91210574)))",,
124,124,476532.9396,1427166.728,478438.1955,1425516.728,"MultiPolygon (((120.7851635 12.8971906, 120.789546 12.90465186, 120.79832418 12.90465903, 120.80271934 12.89720493, 120.79833657 12.88974388, 120.78955891 12.88973672, 120.7851635 12.8971906)))",,
